crop,state_name,season,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture 
Coconut,Assam,Whole Year,41.95,30.83,31.44,24.67,86.38,6.24,167.56,36.95
Rice,Kerala,Summer,51.09,36.85,36.7,27.54,78.12,7.54,69.39,15.57
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Orange,Telangana ,Whole Year,42.11,29.23,24.45,10.0,98.0,7.76,104.95,27.89
Maize,Madhya Pradesh,Kharif,49.79,58.23,43.69,26.55,66.26,6.5,183.57,30.85
Lentil,Uttarakhand,Rabi,15.12,78.82,23.28,32.04,67.63,6.94,33.98,12.45
Rice,Maharashtra,Kharif,42.54,59.71,32.87,23.37,85.48,5.28,197.33,28.0
Orange,Tamil Nadu,Whole Year,10.0,34.3,24.62,30.13,92.71,6.37,149.26,28.44
Maize,Gujarat,Kharif,46.43,67.44,23.32,17.07,78.06,6.05,111.0,21.45
Rice,Odisha,Summer,68.22,29.37,44.65,30.96,75.31,6.15,247.73,29.27
Jute,West Bengal,Kharif,101.45,61.89,46.95,27.88,92.4,6.74,166.44,30.91
Lentil,Uttarakhand,Rabi,54.87,64.1,19.43,19.6,66.33,6.91,59.63,23.94
Grapes,Tamil Nadu,Whole Year,25.77,121.76,177.15,40.0,84.38,6.6,65.19,29.1
Jute,West Bengal,Kharif,94.81,48.49,45.78,25.88,82.23,6.46,207.38,28.8
Papaya,Assam,Kharif,54.2,46.01,49.04,18.22,93.74,6.95,163.01,31.8
Rice,Telangana ,Kharif,60.59,40.13,46.12,28.82,90.02,7.33,172.06,36.72
Orange,Andhra Pradesh,Whole Year,22.56,28.52,29.75,29.26,84.53,5.31,125.53,26.36
Lentil,Uttarakhand,Rabi,25.42,62.88,27.26,19.51,63.8,7.72,57.24,11.23
Blackgram,Nagaland,Kharif,34.01,56.41,16.46,30.72,77.82,6.18,82.31,18.18
Mango,Madhya Pradesh,Whole Year,10.0,53.61,35.87,32.35,59.41,5.4,97.44,19.21
Jute,Assam,Kharif,51.92,33.01,35.15,25.43,70.41,7.14,204.25,31.69
Coconut,Assam,Whole Year,40.45,28.69,35.94,27.48,91.72,6.22,143.9,35.16
Jute,Assam,Kharif,58.93,60.31,40.13,28.9,83.57,6.96,191.25,29.42
Banana,Puducherry,Kharif,86.31,64.13,61.07,31.02,80.0,5.66,128.78,23.55
Coconut,Karnataka,Whole Year,35.73,53.46,40.75,25.96,95.3,6.06,182.91,31.56
Blackgram,Uttar Pradesh,Kharif,60.55,75.35,29.54,31.77,71.94,6.51,99.73,15.71
Banana,Uttar Pradesh,Summer,68.59,89.32,48.82,32.85,75.49,6.01,82.97,21.23
Orange,Assam,Kharif,22.29,28.64,25.71,10.0,91.31,8.5,129.85,28.27
Grapes,Karnataka,Whole Year,38.7,121.33,157.98,11.04,81.07,6.67,122.12,29.49
Rice,Maharashtra,Kharif,68.72,38.5,40.68,22.69,87.72,6.88,198.23,34.19
Orange,Assam,Whole Year,10.0,42.26,21.69,31.31,85.84,6.62,126.15,23.22
Coffee,Kerala,Whole Year,113.51,21.19,44.22,25.91,83.59,7.77,140.58,33.81
Coconut,Kerala,Whole Year,28.19,35.49,34.9,25.53,88.76,6.53,145.93,30.1
Lentil,Nagaland,Rabi,51.2,73.71,15.98,15.87,54.05,6.41,37.19,25.73
Banana,Andhra Pradesh,Whole Year,107.3,87.81,53.16,26.45,76.83,5.47,140.22,25.13
Maize,Jammu and Kashmir ,Kharif,94.44,59.57,30.9,22.98,71.15,6.07,158.07,30.49
Rice,Kerala,Autumn,35.44,61.62,46.91,25.87,75.44,6.96,212.69,30.07
Jute,West Bengal,Kharif,79.45,67.51,37.93,23.32,81.12,6.56,150.65,33.27
Coconut,Assam,Whole Year,27.75,5.0,38.08,29.62,91.9,6.38,236.47,31.9
Papaya,Andhra Pradesh,Kharif,23.9,64.97,50.85,40.0,95.41,7.29,161.68,31.86
Grapes,Karnataka,Whole Year,29.41,111.27,156.92,14.38,87.69,5.76,83.28,35.49
Coconut,Karnataka,Whole Year,33.9,14.52,33.6,25.83,90.93,6.12,195.43,29.08
Banana,Andhra Pradesh,Whole Year,104.68,95.72,53.9,24.96,81.35,5.52,108.61,32.11
Orange,Tamil Nadu,Whole Year,40.81,30.92,28.14,10.0,88.97,8.23,113.99,37.15
Banana,Uttar Pradesh,Whole Year,76.17,100.04,52.68,26.2,83.34,5.68,99.18,25.58
Coconut,West Bengal,Whole Year,10.0,36.89,33.56,26.37,90.7,7.22,216.02,25.28
Maize,Bihar,Summer,75.33,48.4,27.76,28.01,73.04,4.71,103.8,19.21
Maize,Uttar Pradesh,Kharif,95.95,29.47,30.47,24.0,67.45,6.22,143.32,26.72
Coffee,Kerala,Whole Year,113.51,21.19,44.22,25.91,83.59,7.77,140.58,33.81
Jute,Madhya Pradesh,Kharif,62.62,46.67,47.54,26.06,82.2,7.19,151.81,27.08
Blackgram,Chhattisgarh,Rabi,35.38,70.64,36.04,27.04,67.94,6.68,74.23,22.21
Lentil,Nagaland,Rabi,14.38,41.52,26.59,24.26,71.41,5.62,55.14,22.27
Maize,Madhya Pradesh,Kharif,69.33,38.89,27.43,18.17,76.99,6.54,124.39,23.85
Mango,Kerala,Whole Year,10.0,56.87,44.27,33.8,63.24,7.61,111.19,23.06
Papaya,Andhra Pradesh,Kharif,92.13,57.54,50.04,20.42,87.93,6.6,238.74,31.36
Maize,Uttar Pradesh,Kharif,69.89,36.13,33.8,33.41,72.95,7.06,124.34,19.33
Coconut,Andhra Pradesh,Whole Year,38.85,38.39,38.23,29.43,94.03,6.31,76.11,28.15
Banana,Tamil Nadu,Whole Year,101.6,73.14,55.77,29.51,78.73,5.66,123.99,22.55
Maize,West Bengal,Summer,82.93,67.5,19.12,26.86,54.6,5.81,57.19,20.61
Grapes,Andhra Pradesh,Kharif,22.25,104.48,161.54,38.52,87.84,6.0,81.83,23.05
Mango,Andhra Pradesh,Whole Year,25.58,37.95,42.51,30.58,55.92,5.47,120.75,22.07
Blackgram,Andhra Pradesh,Kharif,87.27,65.37,34.76,30.73,60.55,6.64,131.47,22.75
Jute,Bihar,Kharif,76.09,68.42,43.79,22.76,90.56,6.82,190.16,35.18
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Coconut,Karnataka,Whole Year,64.95,36.96,42.63,23.33,93.24,5.92,116.06,27.88
Jute,Odisha,Autumn,80.84,32.88,34.49,23.15,83.58,6.38,135.13,33.27
Coconut,West Bengal,Whole Year,38.15,19.78,40.9,24.55,86.75,5.98,166.82,28.22
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Banana,Assam,Whole Year,87.6,54.78,45.82,28.95,85.26,5.8,146.23,26.92
Blackgram,Bihar,Kharif,37.23,65.71,23.27,38.09,72.3,6.61,125.93,29.66
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Grapes,Telangana ,Whole Year,13.29,118.48,155.39,12.59,79.26,4.98,96.44,28.02
Coconut,Andhra Pradesh,Whole Year,17.59,21.5,40.82,24.92,94.86,5.65,156.44,30.9
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Banana,Karnataka,Whole Year,97.16,45.18,46.4,29.67,79.66,6.73,101.05,27.2
Coffee,Kerala,Whole Year,113.51,21.19,44.22,25.91,83.59,7.77,140.58,33.81
Rice,West Bengal,Autumn,63.98,69.01,47.79,20.5,86.73,7.36,178.6,37.11
Maize,Gujarat,Kharif,104.94,61.78,32.61,14.4,66.08,6.02,154.13,24.33
Blackgram,Madhya Pradesh,Rabi,17.91,67.32,26.77,31.86,62.33,6.91,76.59,27.52
Coffee,Kerala,Whole Year,71.09,38.75,41.56,28.6,68.22,6.84,227.55,17.2
Coconut,Assam,Whole Year,38.04,22.67,47.15,25.64,92.45,6.13,177.82,31.84
Maize,West Bengal,Summer,64.28,55.19,24.72,20.93,63.56,6.55,58.77,20.52
Lentil,Nagaland,Rabi,57.19,52.64,36.42,22.64,56.33,5.05,61.32,23.14
Jute,Odisha,Kharif,78.94,52.75,42.76,25.42,94.16,6.81,190.88,31.44
Grapes,Maharashtra,Whole Year,10.28,108.68,169.42,30.56,80.73,6.34,73.09,20.02
Banana,Tamil Nadu,Whole Year,94.71,83.07,60.25,29.05,70.81,5.98,95.27,24.5
Orange,Assam,Kharif,10.0,11.37,30.05,10.0,91.64,7.19,130.51,28.6
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Blackgram,Andhra Pradesh,Rabi,53.26,45.61,28.71,19.39,55.66,6.24,37.88,23.3
Mango,Karnataka,Whole Year,55.66,43.55,33.62,28.84,54.25,4.66,139.77,25.72
Mango,Karnataka,Whole Year,10.0,42.93,23.12,27.43,56.62,4.5,76.13,24.35
Papaya,Karnataka,Whole Year,59.27,52.64,47.35,12.97,91.44,6.78,233.52,31.72
Lentil,Nagaland,Rabi,14.38,41.52,26.59,24.26,71.41,5.62,55.14,22.27
Blackgram,Assam,Rabi,36.26,50.83,23.9,25.0,56.23,6.62,72.64,30.83
Orange,Assam,Kharif,33.56,32.54,17.17,33.08,90.81,5.51,103.93,26.12
Rice,Odisha,Summer,65.55,42.32,50.84,24.88,80.36,7.2,186.25,36.99
Maize,Gujarat,Kharif,104.92,31.7,21.02,26.89,65.02,6.76,111.65,23.24
Papaya,Manipur,Whole Year,36.76,52.75,60.17,37.73,89.6,6.91,180.42,25.55
Papaya,Assam,Whole Year,69.08,55.93,48.74,40.0,92.28,6.68,214.77,27.36
Rice,Assam,Autumn,47.77,69.23,48.08,21.28,85.33,5.29,288.49,41.04
Jute,West Bengal,Kharif,71.18,43.91,47.87,23.2,78.63,5.42,206.12,25.55
Coconut,Andhra Pradesh,Whole Year,20.15,15.02,54.08,26.79,83.32,6.11,136.08,23.52
Blackgram,Madhya Pradesh,Kharif,57.24,66.57,15.67,27.95,62.55,6.18,107.42,23.14
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Grapes,Maharashtra,Whole Year,43.01,122.48,159.77,40.0,79.33,6.49,81.03,20.58
Jute,West Bengal,Kharif,65.6,43.9,51.75,24.53,78.76,6.66,151.62,29.07
Coconut,Tamil Nadu,Whole Year,17.87,49.44,33.64,25.59,94.8,6.73,136.49,32.39
Papaya,Manipur,Whole Year,57.04,62.47,56.02,40.0,86.67,7.34,117.9,28.85
Blackgram,Bihar,Kharif,38.85,50.33,37.26,23.64,62.1,7.42,104.0,29.55
Coffee,Kerala,Whole Year,71.09,38.75,41.56,28.6,68.22,6.84,227.55,17.2
Maize,Uttar Pradesh,Kharif,68.27,18.59,21.41,26.47,77.84,6.21,108.4,22.47
Orange,Assam,Whole Year,39.28,5.0,19.66,15.11,87.11,7.33,132.93,28.43
Mango,Rajasthan,Whole Year,40.15,24.34,23.55,27.3,45.49,6.83,104.17,25.42
Rice,Maharashtra,Summer,81.82,69.93,36.32,22.13,73.91,8.5,138.37,23.42
Orange,Assam,Kharif,10.0,22.12,33.46,40.0,91.53,6.38,151.27,33.99
Banana,Andhra Pradesh,Whole Year,81.56,97.57,46.82,33.64,88.33,5.77,156.1,31.3
Banana,Kerala,Whole Year,93.78,102.9,58.68,31.8,72.12,6.68,122.04,21.98
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Lentil,Uttarakhand,Rabi,19.52,55.88,19.22,23.88,62.68,6.78,21.11,28.23
Grapes,Maharashtra,Whole Year,10.0,113.07,159.3,40.0,84.7,6.95,83.86,16.73
Coconut,Puducherry,Whole Year,10.0,10.74,31.33,33.73,85.51,6.19,149.61,27.82
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Jute,Assam,Kharif,77.34,23.62,43.81,26.15,83.47,6.0,166.48,30.24
Papaya,Madhya Pradesh,Whole Year,60.33,44.8,56.45,20.8,95.02,6.76,275.12,42.16
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Blackgram,Odisha,Winter,51.42,75.63,16.3,23.0,71.46,7.12,51.54,16.71
Banana,Karnataka,Whole Year,81.48,65.23,43.05,27.14,86.04,5.84,113.67,29.76
Banana,Chhattisgarh,Whole Year,92.56,85.04,44.64,21.68,85.56,5.9,77.44,30.81
Jute,Bihar,Kharif,29.25,58.77,52.7,24.83,95.69,7.39,207.02,29.82
Banana,Uttar Pradesh,Summer,113.46,84.55,58.01,30.89,70.58,7.36,68.84,28.35
Orange,Telangana ,Whole Year,10.0,24.07,17.28,23.92,93.85,8.5,124.38,29.2
Maize,West Bengal,Autumn,41.67,69.13,25.37,29.57,77.49,6.74,107.55,31.48
Blackgram,Chhattisgarh,Rabi,37.37,62.23,21.55,28.47,75.13,7.22,69.05,18.58
Coconut,Assam,Whole Year,43.85,37.94,44.85,30.83,92.02,6.6,184.56,35.99
Jute,West Bengal,Kharif,41.54,70.38,43.74,30.97,74.9,7.91,209.24,24.69
Lentil,Uttarakhand,Rabi,36.21,62.74,27.99,24.4,69.27,5.96,54.99,21.0
Jute,Madhya Pradesh,Kharif,49.17,55.48,33.62,26.86,80.56,6.32,229.01,34.77
Papaya,Madhya Pradesh,Whole Year,30.89,52.51,50.4,40.0,94.01,7.03,211.69,34.08
Blackgram,Maharashtra,Kharif,52.63,53.94,22.21,29.27,71.18,6.95,118.65,30.09
Jute,Assam,Kharif,78.6,67.52,40.96,30.71,85.71,6.96,185.68,28.82
Papaya,Assam,Kharif,27.79,75.22,48.95,29.66,87.85,6.7,113.94,17.84
Blackgram,Chhattisgarh,Kharif,10.0,67.76,44.78,35.93,79.58,7.17,149.08,26.81
Blackgram,Chhattisgarh,Rabi,48.04,67.64,50.27,32.63,69.58,7.16,55.33,18.74
Orange,Assam,Kharif,18.53,32.45,21.42,40.0,94.28,6.94,149.3,26.98
Grapes,Karnataka,Whole Year,26.71,111.74,175.78,38.29,89.66,6.25,70.59,18.14
Orange,Andhra Pradesh,Whole Year,45.51,15.4,18.0,31.94,86.94,6.45,100.33,36.28
Papaya,Tamil Nadu,Whole Year,59.37,51.54,50.12,32.51,93.24,6.38,157.96,32.54
Jute,West Bengal,Kharif,78.04,39.32,48.54,26.22,95.68,6.24,152.69,29.44
Coconut,Assam,Whole Year,10.0,9.56,38.27,31.29,77.97,6.4,211.56,17.58
Grapes,Karnataka,Whole Year,41.85,97.62,162.55,36.67,87.87,6.06,94.3,25.98
Jute,Nagaland,Kharif,56.6,65.12,41.36,27.88,89.81,7.23,198.45,29.38
Rice,Assam,Winter,77.36,59.69,46.76,16.54,74.81,5.99,250.8,34.46
Orange,Madhya Pradesh,Whole Year,45.99,26.24,13.41,39.91,93.65,7.47,154.36,28.96
Lentil,Uttarakhand,Rabi,46.03,68.65,19.27,25.4,79.81,6.56,27.73,16.63
Jute,Assam,Kharif,60.42,55.47,38.36,28.71,83.43,6.99,190.95,22.78
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Blackgram,Uttar Pradesh,Kharif,45.84,63.29,18.0,33.86,79.64,7.56,100.36,22.42
Coconut,Tamil Nadu,Whole Year,10.0,19.2,37.77,24.44,83.87,5.59,202.31,24.88
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Coconut,Assam,Whole Year,33.98,27.4,35.77,26.52,98.0,6.25,161.09,30.9
Maize,Uttar Pradesh,Rabi,116.94,61.83,22.45,20.9,89.65,5.8,63.16,21.01
Blackgram,Odisha,Winter,57.86,81.55,29.21,28.37,74.37,7.05,71.06,23.2
Grapes,Karnataka,Whole Year,39.84,136.84,160.15,29.49,87.95,6.8,73.24,22.58
Lentil,Uttarakhand,Rabi,46.03,68.65,19.27,25.4,79.81,6.56,27.73,16.63
Banana,Assam,Whole Year,90.7,68.37,50.65,28.07,83.43,6.55,116.91,24.98
Maize,Gujarat,Kharif,89.96,40.31,20.79,19.62,59.2,6.53,127.72,26.31
Orange,Rajasthan,Whole Year,10.0,29.2,28.53,30.45,98.0,6.61,94.84,35.67
Coconut,Andhra Pradesh,Whole Year,28.44,34.57,37.22,28.85,89.6,5.64,127.73,24.21
Lentil,Nagaland,Rabi,10.0,60.15,17.79,24.23,56.04,7.66,37.3,18.57
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Lentil,Nagaland,Rabi,24.94,75.82,18.15,17.56,72.48,7.14,20.0,24.42
Coconut,Kerala,Whole Year,41.94,23.99,45.84,29.44,90.24,6.85,217.6,23.32
Papaya,Andhra Pradesh,Whole Year,48.74,39.17,62.02,28.42,86.8,6.62,300.0,34.18
Mango,Puducherry,Kharif,10.0,31.7,52.8,31.48,53.11,7.66,105.46,23.28
Orange,Rajasthan,Whole Year,27.58,20.86,14.92,33.45,87.86,7.06,119.28,29.9
Papaya,Assam,Kharif,67.29,43.32,42.55,40.0,97.18,6.11,108.08,34.94
Maize,Madhya Pradesh,Kharif,70.77,43.21,36.98,29.77,71.91,4.66,133.58,26.07
Blackgram,Odisha,Autumn,10.89,73.15,25.0,25.23,71.95,6.51,60.96,23.85
Coffee,Kerala,Whole Year,84.8,31.85,45.51,28.26,45.4,6.4,286.04,29.18
Rice,Uttar Pradesh,Summer,86.59,38.44,46.65,24.92,67.39,8.5,164.92,27.57
Blackgram,Maharashtra,Kharif,59.08,75.83,15.9,30.42,69.83,4.95,118.12,29.86
Blackgram,Odisha,Autumn,64.92,50.5,35.1,30.57,64.48,7.18,85.3,28.4
Orange,Madhya Pradesh,Whole Year,22.77,19.38,23.76,15.8,97.61,6.87,127.47,29.75
Banana,Assam,Whole Year,95.13,75.89,44.68,30.26,91.84,6.2,87.78,18.67
Mango,Maharashtra,Whole Year,12.54,42.9,34.16,35.02,56.56,5.19,107.76,21.5
Rice,Karnataka,Kharif,71.75,64.74,41.73,28.0,82.37,8.06,190.05,27.64
Jute,Meghalaya,Rabi,55.11,41.41,41.84,25.47,86.23,7.98,136.64,24.7
Mango,Madhya Pradesh,Whole Year,10.0,33.44,33.11,36.13,71.76,5.46,120.98,31.69
Blackgram,Punjab,Kharif,46.66,72.61,23.39,36.08,76.57,7.68,107.94,24.01
Jute,Odisha,Autumn,95.32,40.94,45.54,25.96,85.37,5.79,120.5,24.5
Maize,Bihar,Kharif,63.24,61.19,27.92,18.53,67.15,6.09,128.75,35.4
Blackgram,Uttar Pradesh,Summer,38.79,74.76,28.69,32.71,51.51,6.05,56.34,17.54
Maize,Assam,Kharif,71.62,47.54,31.47,26.48,62.36,6.34,141.19,24.15
Jute,West Bengal,Kharif,77.39,32.36,42.26,22.53,72.89,5.7,108.26,28.06
Maize,Karnataka,Summer,56.65,47.37,28.03,15.22,65.86,4.99,118.4,29.51
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Coconut,Assam,Whole Year,10.0,34.65,33.3,26.4,82.41,6.27,217.3,32.52
Mango,Andhra Pradesh,Whole Year,38.11,39.22,41.05,32.02,55.19,7.61,84.24,16.36
Grapes,Maharashtra,Whole Year,10.0,98.41,169.18,30.79,86.64,6.82,108.71,20.54
Blackgram,Bihar,Kharif,56.79,66.6,29.55,34.93,81.37,6.44,97.82,24.57
Blackgram,Uttar Pradesh,Kharif,32.56,61.03,30.39,27.41,69.79,8.08,115.79,19.89
Papaya,Andhra Pradesh,Kharif,64.72,65.73,47.64,18.64,85.39,6.37,213.72,40.46
Blackgram,Odisha,Kharif,28.11,68.66,27.8,36.29,75.59,7.37,92.41,21.17
Coconut,West Bengal,Whole Year,52.26,32.59,27.82,27.97,96.55,5.4,202.66,32.61
Maize,Karnataka,Summer,74.01,38.73,26.21,25.1,48.13,7.66,84.02,13.92
Banana,Chhattisgarh,Whole Year,86.46,65.45,58.86,23.18,78.16,5.62,103.26,22.64
Lentil,Uttarakhand,Rabi,36.21,62.74,27.99,24.4,69.27,5.96,54.99,21.0
Banana,Kerala,Whole Year,87.81,70.75,54.27,28.65,84.94,6.6,129.03,29.69
Orange,Rajasthan,Whole Year,10.0,13.62,17.34,16.51,84.45,6.88,138.83,33.01
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Jute,Assam,Kharif,50.73,48.69,49.01,27.32,92.08,6.01,175.26,30.92
Orange,Andhra Pradesh,Whole Year,45.51,15.4,18.0,31.94,86.94,6.45,100.33,36.28
Papaya,Andhra Pradesh,Kharif,73.8,76.73,47.87,40.0,94.89,6.49,218.05,28.79
Banana,Uttar Pradesh,Whole Year,86.33,99.64,51.13,28.12,79.06,6.07,138.03,20.17
Banana,Assam,Whole Year,123.72,80.05,52.14,25.75,86.49,6.93,131.05,28.94
Grapes,Karnataka,Whole Year,65.8,109.06,157.46,10.0,84.74,5.32,75.93,36.08
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Banana,Meghalaya,Whole Year,53.0,61.33,46.17,25.73,70.77,5.76,118.21,22.98
Jute,West Bengal,Kharif,79.83,59.68,31.3,26.86,67.77,6.2,141.99,23.37
Banana,Kerala,Whole Year,97.63,85.62,37.99,25.39,85.75,5.6,103.5,25.1
Blackgram,Andhra Pradesh,Kharif,19.74,54.8,28.64,28.46,65.93,8.25,85.98,23.95
Coconut,Karnataka,Whole Year,10.83,37.98,37.83,27.92,96.12,6.16,142.43,29.35
Orange,Assam,Whole Year,10.0,5.0,21.1,27.14,85.06,7.3,136.5,35.3
Blackgram,West Bengal,Kharif,35.74,62.34,27.18,36.53,74.13,7.39,118.6,21.61
Blackgram,Uttar Pradesh,Kharif,69.5,68.36,33.82,34.58,65.65,7.6,84.36,20.03
Jute,West Bengal,Kharif,49.22,74.58,41.7,27.94,78.91,7.95,175.56,30.7
Maize,Uttar Pradesh,Rabi,59.35,26.11,33.32,16.41,51.28,5.24,62.83,13.56
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Maize,Uttarakhand,Kharif,65.57,27.02,19.11,23.73,52.0,4.6,210.59,27.22
Lentil,Uttarakhand,Rabi,38.29,30.68,34.39,19.11,59.33,6.31,65.62,20.1
Rice,Bihar,Winter,73.2,48.35,31.46,17.93,86.24,5.95,197.14,24.71
Banana,Tamil Nadu,Whole Year,69.2,68.89,48.44,28.04,74.77,5.86,140.66,28.27
Mango,Andhra Pradesh,Kharif,10.0,36.9,34.09,29.57,66.13,7.46,113.68,19.42
Blackgram,Odisha,Summer,17.67,55.9,33.71,38.66,62.97,7.4,30.94,15.09
Grapes,Madhya Pradesh,Whole Year,10.0,118.51,166.27,18.71,80.75,5.99,96.52,23.66
Blackgram,Odisha,Summer,40.81,84.0,20.03,26.55,57.28,7.12,80.49,22.45
Orange,Assam,Kharif,15.44,23.48,27.97,12.39,90.22,7.74,137.83,30.37
Rice,Bihar,Winter,49.99,44.34,35.35,22.9,84.18,5.32,190.88,36.0
Coconut,Assam,Whole Year,26.21,27.18,37.77,26.66,90.02,6.07,167.33,30.08
Blackgram,Uttar Pradesh,Kharif,31.83,67.4,21.56,30.53,63.36,6.73,122.85,21.71
Banana,Assam,Whole Year,60.58,76.86,44.89,29.54,75.98,6.72,107.36,26.74
Coffee,Kerala,Whole Year,84.8,31.85,45.51,28.26,45.4,6.4,286.04,29.18
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Coconut,Tamil Nadu,Whole Year,37.77,34.11,36.63,32.53,81.97,5.77,281.67,28.71
Mango,Haryana,Whole Year,16.74,17.6,35.45,18.78,59.3,6.94,137.31,27.15
Mango,Kerala,Whole Year,29.92,22.84,39.3,31.5,59.45,5.97,100.8,19.48
Jute,West Bengal,Kharif,81.96,32.43,46.45,26.3,82.92,7.45,189.79,34.94
Orange,Assam,Whole Year,56.92,43.74,13.63,19.02,90.98,5.71,114.99,30.49
Orange,Tamil Nadu,Whole Year,53.63,29.17,18.44,10.0,91.81,8.5,114.28,32.13
Orange,Telangana ,Whole Year,70.46,33.26,19.73,26.19,98.0,6.44,120.12,30.07
Banana,Kerala,Whole Year,114.99,65.59,40.67,30.05,79.85,6.76,138.27,16.34
Papaya,Andhra Pradesh,Kharif,61.0,43.7,53.85,40.0,93.95,6.93,26.43,27.33
Mango,Madhya Pradesh,Whole Year,40.46,34.55,35.33,29.48,55.99,6.44,124.98,26.6
Banana,Gujarat,Whole Year,75.69,68.99,49.06,26.68,83.54,6.41,96.82,32.25
Jute,Assam,Kharif,67.98,42.09,50.96,25.58,77.6,6.7,193.98,25.3
Grapes,Madhya Pradesh,Whole Year,10.0,118.51,166.27,18.71,80.75,5.99,96.52,23.66
Lentil,Uttarakhand,Rabi,36.21,62.74,27.99,24.4,69.27,5.96,54.99,21.0
Grapes,Tamil Nadu,Whole Year,31.41,127.17,159.15,35.52,79.31,6.48,86.15,28.78
Rice,Maharashtra,Kharif,79.06,45.89,50.32,26.28,92.32,7.05,222.14,40.3
Blackgram,Andhra Pradesh,Kharif,39.46,57.98,38.82,27.77,70.93,7.18,127.67,26.71
Orange,Assam,Kharif,45.43,20.38,28.04,10.0,90.46,7.13,151.13,24.36
Mango,Madhya Pradesh,Whole Year,10.0,27.2,21.77,28.94,62.42,6.28,114.85,18.59
Mango,Maharashtra,Whole Year,10.0,19.65,38.0,25.24,66.81,4.73,121.63,20.08
Coconut,Karnataka,Whole Year,10.0,56.52,41.91,22.54,79.01,6.4,207.09,33.22
Orange,Assam,Kharif,20.59,19.46,29.9,40.0,97.96,7.44,161.03,30.05
Blackgram,Uttar Pradesh,Kharif,66.96,50.28,34.88,26.23,66.19,7.29,91.45,22.74
Blackgram,Madhya Pradesh,Rabi,55.22,54.7,22.91,25.52,62.77,7.48,51.25,19.17
Jute,Assam,Kharif,51.78,68.52,43.67,25.72,81.89,6.19,191.34,33.61
Jute,Odisha,Autumn,76.4,48.55,31.28,26.77,89.01,6.81,144.43,28.77
Maize,Bihar,Rabi,54.54,51.25,33.37,21.14,66.96,5.99,92.9,26.53
Maize,Tamil Nadu,Rabi,84.26,40.1,23.63,20.95,70.17,5.87,42.57,20.18
Lentil,Uttarakhand,Rabi,25.42,62.88,27.26,19.51,63.8,7.72,57.24,11.23
Rice,Assam,Summer,55.93,36.32,53.84,30.38,81.89,7.85,186.45,29.37
Mango,Andhra Pradesh,Whole Year,24.53,48.63,23.76,35.17,63.08,6.97,96.63,24.75
Banana,Andhra Pradesh,Whole Year,107.23,80.38,63.68,26.67,81.43,5.79,97.58,21.79
Maize,West Bengal,Kharif,35.74,42.02,29.31,25.47,69.07,6.35,121.18,31.15
Papaya,Telangana ,Whole Year,32.18,65.99,53.97,35.36,93.27,7.26,54.41,20.49
Jute,Assam,Kharif,91.39,45.99,35.49,29.44,91.63,6.16,181.87,29.93
Banana,Telangana ,Whole Year,76.23,53.36,48.11,26.57,80.74,5.76,102.05,26.22
Grapes,Madhya Pradesh,Whole Year,47.12,103.55,159.75,10.0,74.4,6.36,89.01,14.7
Jute,West Bengal,Kharif,74.22,46.63,48.15,24.05,66.4,6.35,170.89,25.06
Maize,Himachal Pradesh,Kharif,81.6,53.37,25.03,26.31,63.85,6.93,64.21,33.41
Coffee,Kerala,Whole Year,84.8,31.85,45.51,28.26,45.4,6.4,286.04,29.18
Rice,Karnataka,Kharif,72.52,46.95,38.28,28.2,86.19,7.25,290.05,36.75
